A1,A2,A3,A4,A5,A6
200,174,2,71,161,126
250,174,2,71,161,126
315,174,2,71,161,126
400,174,2,71,161,125
500,174,2,71,161,123
630,174,2,71,161,119
800,174,2,71,161,115
20,174,2,55,165,109
25,174,2,55,165,110
31,174,2,55,165,111
40,174,2,55,165,115
50,174,2,55,165,119
63,174,2,55,165,122
80,174,2,55,165,123
100,174,2,55,165,126
125,174,2,55,165,129
160,174,2,55,165,126
200,174,2,55,165,125
250,174,2,55,165,124
315,174,2,55,165,124
400,174,2,55,165,121
500,174,2,55,165,118
630,174,2,55,165,114
20,174,2,39,172,114
25,174,2,39,172,114
31,174,2,39,172,115
40,174,2,39,172,115
50,174,2,39,172,117
63,174,2,39,172,124
80,174,2,39,172,135
100,174,2,39,172,138
125,174,2,39,172,131
160,174,2,39,172,127
200,174,2,39,172,126
250,174,2,39,172,124
315,174,2,39,172,123
400,174,2,39,172,122
500,174,2,39,172,119
20,174,2,31,176,116
25,174,2,31,176,116
31,174,2,31,176,118
40,174,2,31,176,120
50,174,2,31,176,127
63,174,2,31,176,136
80,174,2,31,176,139
100,174,2,31,176,131
125,174,2,31,176,128
160,174,2,31,176,126
200,174,2,31,176,124
250,174,2,31,176,124
315,174,2,31,176,123
400,174,2,31,176,121
500,174,2,31,176,117
31,222,2,71,214,115
40,222,2,71,214,117
50,222,2,71,214,117
63,222,2,71,214,120
80,222,2,71,214,123
100,222,2,71,214,134
125,222,2,71,214,140
160,222,2,71,214,131
200,222,2,71,214,127
250,222,2,71,214,126
315,222,2,71,214,124
400,222,2,71,214,123
500,222,2,71,214,125
630,222,2,71,214,123
800,222,2,71,214,121
20,222,2,39,229,116
25,222,2,39,229,117
31,222,2,39,229,120
40,222,2,39,229,123
50,222,2,39,229,129
63,222,2,39,229,137
80,222,2,39,229,137
100,222,2,39,229,128
125,222,2,39,229,126
160,222,2,39,229,122
200,222,2,39,229,121
250,222,2,39,229,121
315,222,2,39,229,120
400,222,2,39,229,119
500,222,2,39,229,118
63,0,10,71,12,124
80,0,10,71,12,126
100,0,10,71,12,128
125,0,10,71,12,130
160,0,10,71,12,131
200,0,10,71,12,132
250,0,10,71,12,132
315,0,10,71,12,131
400,0,10,71,12,130
500,0,10,71,12,130
630,0,10,71,12,129
800,0,10,71,12,125
1000,0,10,71,12,123
1250,0,10,71,12,119
63,0,10,55,13,126
80,0,10,55,13,127
100,0,10,55,13,129
125,0,10,55,13,131
160,0,10,55,13,132
200,0,10,55,13,132
250,0,10,55,13,133
315,0,10,55,13,131
400,0,10,55,13,129
500,0,10,55,13,128
630,0,10,55,13,127
800,0,10,55,13,124
1000,0,10,55,13,121
1250,0,10,55,13,119
63,0,10,39,14,125
80,0,10,39,14,128
100,0,10,39,14,130
125,0,10,39,14,132
160,0,10,39,14,133
200,0,10,39,14,133
250,0,10,39,14,132
315,0,10,39,14,130
400,0,10,39,14,127
500,0,10,39,14,126
630,0,10,39,14,125
800,0,10,39,14,122
1000,0,10,39,14,119
63,0,10,31,15,126
80,0,10,31,15,129
100,0,10,31,15,131
125,0,10,31,15,133
160,0,10,31,15,133
200,0,10,31,15,133
250,0,10,31,15,132
315,0,10,31,15,129
400,0,10,31,15,126
500,0,10,31,15,124
630,0,10,31,15,124
800,0,10,31,15,120
1000,0,10,31,15,115
80,33,10,71,20,131
100,33,10,71,20,131
125,33,10,71,20,132
160,33,10,71,20,133
200,33,10,71,20,134
250,33,10,71,20,133
315,33,10,71,20,132
400,33,10,71,20,128
500,33,10,71,20,127
630,33,10,71,20,124
800,33,10,71,20,121
1000,33,10,71,20,116
63,33,10,55,22,126
80,33,10,55,22,129
100,33,10,55,22,131
125,33,10,55,22,132
160,33,10,55,22,133
200,33,10,55,22,133
250,33,10,55,22,132
315,33,10,55,22,130
400,33,10,55,22,127
500,33,10,55,22,124
630,33,10,55,22,123
800,33,10,55,22,120
1000,33,10,55,22,115
63,33,10,39,24,127
80,33,10,39,24,129
100,33,10,39,24,131
125,33,10,39,24,133
160,33,10,39,24,133
200,33,10,39,24,132
250,33,10,39,24,130
315,33,10,39,24,128
400,33,10,39,24,124
500,33,10,39,24,122
630,33,10,39,24,120
800,33,10,39,24,118
1000,33,10,39,24,115
63,33,10,31,25,128
80,33,10,31,25,131
100,33,10,31,25,133
125,33,10,31,25,134
160,33,10,31,25,133
200,33,10,31,25,131
250,33,10,31,25,130
315,33,10,31,25,128
400,33,10,31,25,124
500,33,10,31,25,122
630,33,10,31,25,120
800,33,10,31,25,117
63,67,10,71,47,131
80,67,10,71,47,134
100,67,10,71,47,136
125,67,10,71,47,137
160,67,10,71,47,136
200,67,10,71,47,134
250,67,10,71,47,131
315,67,10,71,47,124
50,67,10,55,52,129
63,67,10,55,52,133
80,67,10,55,52,135
100,67,10,55,52,137
125,67,10,55,52,136
160,67,10,55,52,133
200,67,10,55,52,129
250,67,10,55,52,124
40,67,10,39,57,128
50,67,10,39,57,130
63,67,10,39,57,133
80,67,10,39,57,134
100,67,10,39,57,134
125,67,10,39,57,132
160,67,10,39,57,127
200,67,10,39,57,122
31,67,10,31,59,126
40,67,10,31,59,128
50,67,10,31,59,130
63,67,10,31,59,132
80,67,10,31,59,132
100,67,10,31,59,131
125,67,10,31,59,129
160,67,10,31,59,124
200,67,10,31,59,120
20,89,10,71,103,133
25,89,10,71,103,134
31,89,10,71,103,136
40,89,10,71,103,138
50,89,10,71,103,138
63,89,10,71,103,138
80,89,10,71,103,137
100,89,10,71,103,135
125,89,10,71,103,132
160,89,10,71,103,128
200,89,10,71,103,124
250,89,10,71,103,123
315,89,10,71,103,123
400,89,10,71,103,120
500,89,10,71,103,116
630,89,10,71,103,117
20,89,10,39,124,133
25,89,10,39,124,134
31,89,10,39,124,135
40,89,10,39,124,135
50,89,10,39,124,133
63,89,10,39,124,131
80,89,10,39,124,130
100,89,10,39,124,129
125,89,10,39,124,127
160,89,10,39,124,123
200,89,10,39,124,119
250,89,10,39,124,119
315,89,10,39,124,119
400,89,10,39,124,116
500,89,10,39,124,113
630,89,10,39,124,113
20,123,10,71,337,130
25,123,10,71,337,131
31,123,10,71,337,137
40,123,10,71,337,139
50,123,10,71,337,140
63,123,10,71,337,135
80,123,10,71,337,127
100,123,10,71,337,127
125,123,10,71,337,126
160,123,10,71,337,124
200,123,10,71,337,122
250,123,10,71,337,121
315,123,10,71,337,120
400,123,10,71,337,118
500,123,10,71,337,116
630,123,10,71,337,113
20,123,10,55,368,132
25,123,10,55,368,133
31,123,10,55,368,135
40,123,10,55,368,136
50,123,10,55,368,133
63,123,10,55,368,124
80,123,10,55,368,125
100,123,10,55,368,125
125,123,10,55,368,124
160,123,10,55,368,121
200,123,10,55,368,118
250,123,10,55,368,117
315,123,10,55,368,116
400,123,10,55,368,114
500,123,10,55,368,112
630,123,10,55,368,110
20,123,10,39,408,128
25,123,10,39,408,129
31,123,10,39,408,129
40,123,10,39,408,128
50,123,10,39,408,122
63,123,10,39,408,121
80,123,10,39,408,122
100,123,10,39,408,122
125,123,10,39,408,121
160,123,10,39,408,117
200,123,10,39,408,114
250,123,10,39,408,113
315,123,10,39,408,113
400,123,10,39,408,110
500,123,10,39,408,108
630,123,10,39,408,107
20,123,10,31,418,124
25,123,10,31,418,125
31,123,10,31,418,124
40,123,10,31,418,123
50,123,10,31,418,118
63,123,10,31,418,119
80,123,10,31,418,120
100,123,10,31,418,119
125,123,10,31,418,118
160,123,10,31,418,114
200,123,10,31,418,110
250,123,10,31,418,110
315,123,10,31,418,110
400,123,10,31,418,108
500,123,10,31,418,107
630,123,10,31,418,107
20,156,10,71,437,130
25,156,10,71,437,132
31,156,10,71,437,133
40,156,10,71,437,134
50,156,10,71,437,130
63,156,10,71,437,122
80,156,10,71,437,124
100,156,10,71,437,124
125,156,10,71,437,123
160,156,10,71,437,121
200,156,10,71,437,119
250,156,10,71,437,118
315,156,10,71,437,116
400,156,10,71,437,113
20,156,10,39,528,123
25,156,10,39,528,124
31,156,10,39,528,122
40,156,10,39,528,120
50,156,10,39,528,115
63,156,10,39,528,118
80,156,10,39,528,118
100,156,10,39,528,119
125,156,10,39,528,118
160,156,10,39,528,114
200,156,10,39,528,110
250,156,10,39,528,110
315,156,10,39,528,109
400,156,10,39,528,106
500,156,10,39,528,106
630,156,10,39,528,104
